"tau" "theta" "rho" "m"
1.67333333333333 4 4 0.733333333333333
3.33666666666667 4 4 0.733333333333333
1.67333333333333 7 4 0.733333333333333
3.33666666666667 7 4 0.733333333333333
1.67333333333333 4 7 0.733333333333333
3.33666666666667 4 7 0.733333333333333
1.67333333333333 7 7 0.733333333333333
3.33666666666667 7 7 0.733333333333333
1.67333333333333 4 4 1.36666666666667
3.33666666666667 4 4 1.36666666666667
1.67333333333333 7 4 1.36666666666667
3.33666666666667 7 4 1.36666666666667
1.67333333333333 4 7 1.36666666666667
3.33666666666667 4 7 1.36666666666667
1.67333333333333 7 7 1.36666666666667
3.33666666666667 7 7 1.36666666666667
1.67333333333333 4 4 0.733333333333333
3.33666666666667 4 4 0.733333333333333
1.67333333333333 7 4 0.733333333333333
3.33666666666667 7 4 0.733333333333333
1.67333333333333 4 7 0.733333333333333
3.33666666666667 4 7 0.733333333333333
1.67333333333333 7 7 0.733333333333333
3.33666666666667 7 7 0.733333333333333
1.67333333333333 4 4 1.36666666666667
3.33666666666667 4 4 1.36666666666667
1.67333333333333 7 4 1.36666666666667
3.33666666666667 7 4 1.36666666666667
1.67333333333333 4 7 1.36666666666667
3.33666666666667 4 7 1.36666666666667
1.67333333333333 7 7 1.36666666666667
3.33666666666667 7 7 1.36666666666667
